country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
SK,thermal,2025,18.3,6.44,103,233.9,36.0,0.0,0
SK,thermal,2030,16.75,4.89,60,141.0,29.0,0.0,0
SK,thermal,2040,14.84,2.98,36,62.4,21.0,0.0,0
SK,thermal,2050,13.7,1.84,24,26.2,14.0,0.0,0
UK,total_elec,2025,48.27,0.0,0,0.0,0.0,0.0,0
UK,total_elec,2030,66.31,13.84,14,115.4,8.0,12.4,3
UK,total_elec,2040,75.47,26.14,80,941.2,36.0,2.5,3
UK,total_elec,2050,91.35,49.35,322,5550.3,112.0,6.4,3
UK,hp_elec,2025,2.02,0.0,0,0.0,0.0,0.0,0
UK,hp_elec,2030,17.91,0.0,0,0.0,0.0,0.0,0
UK,hp_elec,2040,20.49,0.0,0,0.0,0.0,0.0,0
UK,hp_elec,2050,31.06,0.0,0,0.0,0.0,0.0,0
UK,thermal,2025,165.86,58.4,103,2126.0,36.0,0.0,0
UK,thermal,2030,166.82,59.36,103,2202.2,37.0,0.0,0
UK,thermal,2040,165.94,58.48,103,2132.1,36.0,0.0,0
UK,thermal,2050,163.66,56.2,97,1956.1,35.0,0.0,0
